削除された単語一覧（frequency=0 = コーパスに未出現）
削除件数: 53,409 件
==================================================

-冊	-サツ
-方	-ホウ
-様	-サマ
-氏	-シ
-番目	-バンメ
-風	-カゼ
1/4マイル	1/4マイル
100万命令毎秒	100マンメイレイマイビヨウ
いっしょくたにする	イツシヨクタニスル
いっしょに	イツシヨニ
いっせいに	イツセイニ
いっそう	イツソウ
いっそうへたに	イツソウヘタニ
いっそう少なく	イツソウスクナク
いっそう有力な理由で	イツソウユウリヨクナリユウデ
いったい	イツタイ
いったん	イツタン
いっぱい	イツパイ
いっぱいに開いて	イツパイニヒライテ
いっぺんに	イツペンニ
いつか	イツカ
いつくしみ	イツクシミ
いつでも	イツデモ
いつの間にか	イツノマニカ
いつまでも	イツマデモ
いつも	イツモ
いつもの	イツモノ
いつも通り	イツモトウリ
いつ迄も	イツマデモ
いとおしがる	イトオシガル
いとこ	イトコ
いとまごい	イトマゴイ
いとま乞い	イトマキツイ
いとも	イトモ
いとわしい	イトワシイ
いないいないばあ	イナイイナイバア
いなか	イナカ
いなせ	イナセ
いぬ	イヌ
いぬがや科	イヌガヤカ
いぬ科	イヌカ
いのもとそう科	イノモトソウカ
いの一番	イノイチバン
いばった足どりで歩く	イバツタアシドリデアルク
いばら	イバラ
いばり	イバリ
いばり散らす	イバリチラス
いびき	イビキ
いびきをかく	イビキヲカク
いびきをかくこと	イビキヲカクコト
いびつ	イビツ
いぶかしい	イブカシイ
いぶし出す	イブシダス
いぶり出す	イブリダス
いぼ	イボ
いぼ目	イボメ
いまいましい	イマイマシイ
いまだに	イマダニ
いまなお	イマナオ
いまもって	イマモツテ
いみじくも	イミジクモ
いみな	イミナ
いやおうなしに	イヤオウナシニ
いやが上にも	イヤガウエニモ
いやさか	イヤサカ
いやというほど	イヤトイウホド
いやな人	イヤナニン
いやに	イヤニ
いやらしい	イヤラシイ
いよいよ	イヨイヨ
いらいらと	イライラト
いらか段	イラカダン
いらだたしさ	イラダタシサ
いらだたせる	イラダタセル
いらだち	イラダチ
いらだって	イラダツテ
いら立たしげ	イラタタシゲ
いら立ち	イラタチ
いら立てる	イラタテル
いる	イル
いろいろ	イロイロ
いわば	イワバ
いわれなく	イワレナク
いんぎん	インギン
いんぎんに	インギンニ
いんちきさ	インチキサ
いんちき医療	インチキイリヨウ
いん石	インイシ
い辛っぽい	イカラツポイ
ういきょう	ウイキヨウ
うかがい	ウカガイ
うかつ	ウカツ
うかと	ウカト
うがい薬	ウガイクスリ
うさぎ小屋	ウサギコヤ
うさんくさい	ウサンクサイ
うさん臭い	ウサンクサイ
うさん臭げ	ウサンシユウゲ
うさん臭さ	ウサンシユウサ
うざっこい	ウザツコイ
うしろ側	ウシロガワ
うしろ帯	ウシロオビ
うしろ押し	ウシロオシ
うしろ暗い	ウシロクライ
うしろ紐	ウシロヒモ
うしろ肢	ウシロシ
うしろ脚	ウシロアシ
うしろ足	ウシロアシ
うすうす	ウスウス
うすのろ	ウスノロ
うすばか	ウスバカ
うす暗い	ウスクライ
うす気味悪い	ウスキミワルイ
うす汚い	ウスキタナイ
うす紙	ウスカミ
うす茶	ウスチヤ
うす茶色	ウスチヤイロ
うす黒い	ウスクロイ
うずくまること	ウズクマルコト
うず巻く	ウズマク
うそ	ウソ
うそ甘い	ウソアマイ
うたう	ウタウ
うたた寝	ウタタネ
うちとける	ウチトケル
うち倒す	ウチタオス
うち切り	ウチキリ
うち明ける	ウチアケル
うち消し	ウチケシ
うち消す	ウチケス
うち続く	ウチツヅク
うち過ぎる	ウチスギル
うち靡く	ウチナビク
うっかりミス	ウツカリミス
うっかり口に出す	ウツカリクチニダス
うっそうたる	ウツソウタル
うっちゃらかす	ウツチヤラカス
うっちゃる	ウツチヤル
うっとうしい	ウツトウシイ
うっとうしげ	ウツトウシゲ
うっとりさせる	ウツトリサセル
うっとりさせるほど	ウツトリサセルホド
うっとりさせる美しさ	ウツトリサセルウツクシサ
うっ気	ウツキ
うっ血	ウツチ
うっ血性	ウツチシヨウ
うっ血性心不全	ウツチシヨウシンフゼン
うつり変わり	ウツリカワリ
うつろ	ウツロ
うつ病	ウツビヨウ
うとうとした	ウトウトシタ
うどん粉	ウドンコナ
うなぎ	ウナギ
うなだれる	ウナダレル
うなり声	ウナリコエ
うぬぼれ	ウヌボレ
うぬ惚	ウヌコツ
うぬ惚れ	ウヌホレ
うねうねする	ウネウネスル
うねくね	ウネクネ
うば車	ウバクルマ
うぶ毛のある	ウブケノアル
うぶ毛のあるような	ウブケノアルヨウナ
うまい	ウマイ
うまく	ウマク
うまくやる	ウマクヤル
うまれつき	ウマレツキ
うめき声	ウメキコエ
うやむや	ウヤムヤ
うらやましい	ウラヤマシイ
うらやましがる	ウラヤマシガル
うらやましさ	ウラヤマシサ
うららか	ウララカ
うら寂しげ	ウラサビシゲ
うら寂しさ	ウラサビシサ
うら悲しげ	ウラカナシゲ
うら淋げ	ウラリンゲ
うら淋しい	ウラサビシイ
うら淋しさ	ウラサビシサ
うるう年	ウルウネン
うるさい	ウルサイ
うるさくせがむ	ウルサクセガム
うるさ型	ウルサカタ
うれしい	ウレシイ
うれしいこと	ウレシイコト
うれしさ	ウレシサ
うれしそうな	ウレシソウナ
うろ	ウロ
うろくず	ウロクズ
うろこ雲	ウロコクモ
うろたえ	ウロタエ
うろたえさせる	ウロタエサセル
うろたえた	ウロタエタ
うろたえる	ウロタエル
うろつく	ウロツク
うろん	ウロン
うわさによれば	ウワサニヨレバ
うわさ話	ウワサハナシ
うわの空	ウワノソラ
うわべ	ウワベ
